Song #,Song name,Likes,Knows,4/8
41,Where is my husband,Likes,Know,
42,Black Quarterback,Dont like,Dont know,
43,我们的歌谣,Okay,Dont know,wo men de ge yao
44,Feelin Lovely,Okay,Dont know,
45,When we were younger,Okay,Dont know,
46,Kiss me,Okay,Familar,
47,Attention,Likes,Dont know,
48,嗵嗵,Okay,Dont know,tong tong
49,东北民谣,Likes ,Know,dong bei min yao 
50,How much is weed?,likes,Dont know,
51,Kiss of Venus,likes,Dont know,
52,梅花三弄,okay,Dont know,mei hua san nong
53,Bang!,like,Dont know,
54,Fly high!!!,okay,Dont know,
55,Roommates,like,Dont know,
56,酒歌,Dont like,Dont know,jiu ge 
57,南屏晚钟,Okay,Dont know,nan ping wan zhong
58,the show,Like,Know,
59,Good Time,Like,Know,
60,STYX HELIX,okay,Dont know,